題號|題目|選項1|選項2|選項3|選項4|正確答案
509|下列何者屬於 ESG 投資中的「影響力投資」(Impact Investing)核心要素?|意向性、財務回報與可衡量的影響力|僅追求慈善效果不計成本|純粹的短期投機交易|不需揭露任何非財務數據|1
510|關於「碳會計金融夥伴關係」(PCAF),其目標是協助金融機構量化其什麼?|投融資組合的溫室氣體排放(Financed Emissions)|分行辦公室的電費支出|員工的個人碳足跡|銀行的廣告行銷效益|1
511|什麼是「永續經濟活動認定指引」中「生物多樣性與生態系統之保護」目的?|保護、恢復及改善生態系統及其服務之功能|增加農藥的使用量|擴大工業區的建設範圍|增加捕撈漁獲量|1
512|關於「內部碳定價」,若企業採用「內部碳費」模式,該費用通常如何定價?|參考外部碳交易市場或政府碳費標準|由員工投票決定|由行政工友決定|隨機設定一個數字|1
513|下列哪一項是 TCFD 建議揭露「指標與目標」時,針對薪酬的建議?|氣候相關目標與管理階層薪酬掛鉤之比例|員工的最低基本工資|董事長的年度紅利總額|全體員工的加薪幅度|1
514|何謂「淨零路徑」中的「殘餘排放」(Residual Emissions)?|在採取所有可行減碳技術後,仍無法完全消除的排放量|工廠煙囪不小心漏出的氣體|員工在辦公室呼吸排出的碳|計算錯誤多出來的排碳量|1
515|關於「ISSB」發布之 IFRS S1,其「一般要求」是指什麼?|揭露對投資人決策有重大影響的所有永續相關風險與機會|僅要求揭露水資源相關資訊|僅要求揭露勞工權益資訊|要求揭露所有的商業機密|1
516|什麼是「自然相關財務揭露」(TNFD)中的「物理風險」?|因自然資源枯竭或生態系統服務崩潰對組織造成的損失|因低碳法規改變導致的損失|因消費者改買綠色產品導致的損失|因公司電腦設備故障導致的損失|1
517|下列何者屬於「轉型風險」中的「技術風險」?|替代能源技術成本下降且普及化,使舊技術失去競爭力|長期平均氣溫上升|極端氣候導致供電不穩|利害關係人對企業形象的負評|1
518|關於「公正轉型」中的「利害關係人議合」,重點應放在?|受轉型影響之勞工、社區與弱勢群體的溝通與配套|僅與大股東溝通|僅與政府機關溝通|不需溝通,直接執行減碳即可|1
519|什麼是「綠色金融行動方案 3.0」中提到的「整合」(Integration)?|將 ESG 因素整合至金融機構的各項決策與營運流程中|將所有銀行合併成一家|將環境與社會兩個部門廢除|將所有的數據都存進雲端|1
520|關於「氣候變遷因應法」之碳費,其主要徵收目的為何?|提供經濟誘因促使企業主動投入減碳研發與實踐|增加國庫收入以彌補財政赤字|限制企業向國外出口產品|懲罰高獲利的製造業企業|1
521|下列何者為「責任投資原則」(PRI)對簽署者「資產管理公司」的要求?|將 ESG 因素納入其代為管理之投資組合分析中|必須保證其投資組合絕對不跌價|必須將辦公室搬遷至綠建築|禁止聘僱非環保專業之員工|1
522|關於 TCFD 的情境分析,「1.5°C 情境」通常假設?|全球需在 2050 年達成淨零排放|全球可以繼續大量燃燒煤炭|全球不需要採取任何減碳行動|全球經濟將會完全停滯|1
523|什麼是「ESG 確信」(ESG Assurance)?|由外部獨立單位查核永續報告書內容是否正確與準確|由公司董事長保證內容正確|由政府發布公文說內容正確|由網友投票說內容正確|1
524|下列哪一項屬於「物理風險」中的「慢性風險」?|長期降雨模式改變導致供水不穩定|單次的大型森林火災|局部地區的龍捲風|一次性的雷擊事件|1
525|關於「重大性分析」,企業評估議題的重要維度通常不包含?|議題對股價的即時波動預測|議題對組織財務的影響程度|議題對利害關係人的影響程度|議題對環境與社會的影響程度|1
526|何謂「範疇二」排放的「位置基準法」(Location-based)?|依據平均電網排放係數(Grid Average)計算排放量|依據公司所在的地理座標計算|依據發電廠與公司的距離計算|依據公司在產業鏈的位置計算|1
527|關於「永續連結貸款」(SLL),其永續績效目標(SPT)通常會設定?|如:溫室氣體減量率、用水效率提升率等指標|如:股票漲幅達 10%|如:員工每年出國次數|如:董事長參加路跑的次數|1
528|下列哪一項是企業推動「循環經濟」時「Recycle」的正確觀念?|將廢棄物轉化為可重新進入生產循環的資源|直接把垃圾掩埋在空地|增加產品的使用次數|減少生產過程的包裝材料|1
529|什麼是「內部碳定價」中的「影子價格」主要的應用場景?|資本投資決策評估,模擬未來碳成本對專案報酬率的影響|直接從員工薪水扣除碳費|向客戶報價時多收的服務費|黑市買賣碳權的參考價格|1
530|關於「科學基礎減碳目標」(SBTi),其要求企業設定的目標必須是?|具備科學基礎且符合限制溫升目標的路徑|隨機設定的減碳比率|只要比去年進步即可|只要員工同意即可|1
531|下列何者屬於 ESG 中的「S」(社會)面向?|人權議題、勞動條件與消費者權益|董事會獨立性與功能|廢棄物回收與能源管理|內部控制與稽核|1
532|關於「責任投資原則」(PRI)的執行,簽署者必須公開揭露?|其永續投資政策與執行情形報告|所有員工的薪資明細|所有客戶的身份資訊|所有的商業談判紀錄|1
533|什麼是「碳中和」與「淨零」在範疇涵蓋上的常見差異?|淨零通常要求強制包含範疇三,碳中和則未必|兩者都只包含範疇一|兩者都只包含範疇二|淨零只包含範疇一|1
534|根據「上市上櫃公司永續發展路徑圖」,全體上市櫃公司應於何時完成母公司溫室氣體盤查?|2027 年|2025 年|2029 年|2030 年|1
535|下列何者屬於「轉型風險」中的「法律與政策風險」?|因應減碳法規要求而導致營運成本增加或面臨訴訟|氣候變遷導致分行地基受損|消費者轉向支持競爭對手的產品|低碳技術成本過高導致研發停擺|1
536|什麼是「負碳」技術(Negative Emissions Technology)的主要作用?|從大氣中主動移除二氧化碳並長期封存|減少工廠的煙氣排放|讓碳排放係數變成負數|向排碳企業徵收罰金|1
537|關於「自然相關財務揭露」(TNFD)的 LEAP 架構,其目的是?|協助組織系統化評估自然相關風險與機會|協助組織預測股價|協助組織招募人才|協助組織節省稅收|1
538|下列哪一種國際準則提供了「財務重大性」與「投資人導向」的揭露指標?|SASB|GRI|UN SDGs|巴塞爾協議|1
539|何謂「綠色溢價」(Green Premium)?|選用環保低碳技術相對於傳統技術所多出的成本差額|買綠色股票賺到的超額報酬|政府給予綠色企業的稅收減免|綠色產品在超市的特價優惠|1
540|關於「藍色債券」,其資金用途不應包含下列何者?|高污染的大規模深海採礦|建立海洋自然保護區|推動永續小型漁業發展|興建沿海廢水處理設施|1
541|企業編製永續報告書時,若只揭露好的數據而隱藏漏水、污染等數據,違反了 GRI 的哪項原則?|平衡性(Balance)|及時性|清晰性|獲利性|1
542|下列何者屬於「物理風險」中的「急性風險」?|單次強烈暴雨導致倉儲設施淹水受損|海平面逐年緩慢上升|全球平均氣溫逐年升高|土地長期沙漠化現象|1
543|什麼是「範疇一」排放?|公司自有或可控制來源之直接溫室氣體排放|購買電力產生的間接排放|供應商送貨產生的排放|客戶開車來店裡的排放|1
544|關於「永續連結債券」(SLB)之敘述,下列何者正確?|資金用途不受限,但其債券條款(如利率)與 ESG KPI 掛鉤|資金必須專用於購買再生能源|發行人不需揭露進度報告|只有金融機構可以發行|1
545|下列何者屬於「責任投資原則」(PRI)的第一條原則?|將 ESG 議題納入投資分析及決策過程|每年捐款給環保署|禁止投資任何化石燃料產業|僱用 ESG 專業人員|1
546|何謂「碳權」(Carbon Credit)在自願市場上的功能?|代表一公噸二氧化碳減量額度,可用於抵銷排放|代表可以無限制排碳的許可證|向政府換取現金的憑證|買賣股票的憑證|1
547|關於「氣候變遷因應法」之碳費徵收,是由哪個單位統籌辦理?|環境部|金管會|經濟部|財政部|1
548|下列哪一項不屬於 ESG 投資中的「參與及議合」行為?|單純在二級市場進行短線交易而不與公司溝通|在股東會提出關於氣候變遷之議案|與公司管理層進行季度 ESG 績效會議|簽署集體議合信函敦促企業減碳|1
549|什麼是「碳邊境調整機制」(CBAM)主要防止的現象?|碳洩漏(Carbon Leakage)|水污染|人口流失|財政赤字|1
550|關於 TCFD 的「治理」要素,建議揭露內容為何?|董事會對氣候相關風險與機會的監督情形|總經理的個人學歷|員工的平均加班時數|公司的產品全球市佔率|1
551|下列何者屬於「轉型風險」中的「法律風險」?|因未能揭露氣候風險而面臨投資人集體訴訟|淹水導致工廠設備損毀|低碳技術成本過高|消費者偏好改變導致銷量下滑|1
552|什麼是「重大性」(Materiality)在永續揭露中的核心概念?|對組織財務或利害關係人決策產生重要影響的議題|公司資產的大小|投資金額的多寡|媒體報導的頻率|1
553|關於「ISSB」準則與「GRI」準則的關係,下列敘述何者正確?|兩者通常是互補關係,可同時採用以滿足不同需求|ISSB 已經完全取代了 GRI|GRI 僅適用於非營利組織|兩者在法律上是互相排斥的|1
554|何謂「內部碳定價」的「影子價格」(Shadow Price)?|一種虛擬價格,用於內部評估專案的氣候相關成本|政府實際收取的價格|黑市買賣的價格|產品的促銷折扣價格|1
555|下列何者屬於 ESG 中的「S」(社會)面向指標?|勞工關係、人才培育與多元包容|董事會獨立董事席次|用水管理與回收率|反貪腐政策|1
556|關於「責任銀行原則」(PRB),銀行承諾其業務應與哪些目標一致?|聯合國 SDGs 與巴黎氣候協定|銀行自身的獲利最大化目標|當地政府的政治選舉目標|董事長的個人願景|1
557|什麼是「公正轉型」(Just Transition)?|在能源與經濟轉型過程中,確保社會公平與弱勢保護|轉型過程必須追求最快速度而不計社會代價|轉型成本應由受害者自行承擔|轉型後就不需要政府監理|1
558|下列哪一種債券的資金必須「專款專用」於具有綠色效益的專案?|綠色債券|永續連結債券|高收益債券|零息債券|1
559|關於 TCFD 的「策略」要素,組織應評估氣候風險對其什麼的影響?|業務、策略及財務規劃|員工的福利補貼額度|辦公大樓的物管費|廣告宣傳的曝光率|1
560|何謂「循環經濟」中的「修補與翻新」(Refurbish)?|延長產品使用期以減少資源耗損與廢棄物產生|直接將舊產品掩埋|鼓勵消費者買新的產品|減少產品的維修保固服務|1
561|關於「科學基礎減碳目標」(SBTi),其要求企業必須涵蓋哪些範疇的排放?|範疇一、二(若範疇三占比較大則亦需涵蓋)|僅範疇一|僅範疇三|不需要區分範疇|1
562|下列何者屬於 ESG 投資策略中的「負面篩選」(Negative Screening)?|將爭議性行業(如菸草、爭議性武器)排除在名單外|挑選 ESG 表現最好的前 10 名公司|只投資於太陽能相關產業|隨機投資於各種公司|1
563|什麼是「情境分析」(Scenario Analysis)?|評估組織在不同假設未來情境下的韌性與適應能力|分析過去十年的損益表|預測下個月的股價波動趨勢|評估員工的滿意度問卷|1
564|關於「自然相關財務揭露」(TNFD),其 LEAP 架構中的 L 代表?|定位(Locate)與自然的互動地點|法律(Legal)合規性|學習(Learn)永續概念|績效(Leverage)提升空間|1
565|下列哪一項是企業發布永續報告書的主要目的之一?|與利害關係人溝通其 ESG 管理表現與績效|單純為了增加公關人員的工作量|為了在網路上炫耀獲利|為了逃避職業安全檢查|1
566|什麼是「範疇三」排放?|公司價值鏈產生的所有間接排放(排除能源間接排放)|公司直接排出的煙氣|購買電力產生的排放|公司老闆上下班開車的排煙|1
567|關於「碳邊境調整機制」(CBAM)之申報,進口商需揭露什麼資訊?|進口產品生產過程中的隱含碳排放數據|進口產品的市售價格|進口產品的體積|進口產品的保固年限|1
568|下列何者屬於 ESG 中的「G」(治理)面向指標?|誠信經營、董事會職能與資訊安全管理|植樹造林的面積數量|員工平均年度步數|低碳產品的研發投入額|1
569|關於「永續連結債券」(SLB)的發行,發行人必須設定什麼?|關鍵績效指標(KPI)與永續績效目標(SPT)|最高年度獲利指標|最低生產成本指標|員工總人數成長指標|1
570|何謂「雙重重大性」中的「影響重大性」?|組織營運對環境及社會產生的實際或潛在衝擊|公司捐款的金額大小|公司逃漏稅的金額大小|公司獲利成長的倍數|1
571|關於「責任投資原則」(PRI),其第一條原則為何?|將 ESG 議題納入投資分析及決策過程|每年捐款給聯合國環境署|禁止投資所有石化公司|僱用 100 名 ESG 顧問|1
572|下列哪一項不是「社會責任債券」的合資格目標項目?|興建高污染的化學工廠|興建負擔得起的住房|創造穩定就業機會|發展基礎社會設施|1
573|關於「內部碳定價」的推動,企業通常用來作為?|內部資源配置與氣候投資決策的評估工具|向政府要錢的補助證明|解雇員工的評分標準|減少發放年終獎金的理由|1
574|什麼是「範疇二」排放的主要內容?|能源間接排放(如購買電力、蒸汽、熱力等)|公司自有鍋爐直接排放|供應鏈運輸排放|廢棄物回收排放|1
575|關於「氣候風險」中的「實體風險」,下列敘述何者正確?|由極端天氣事件或長期氣候變遷直接引起的風險|由政府調高碳費引起的風險|由新技術取代舊技術引起的風險|由消費者品牌忠誠度下降引起的風險|1
576|下列何者屬於「氣候變遷減緩」的行動策略?|提升能源效率與發展再生能源|在沿海興建更強固的堤防|投保各種極端氣候保險|研發耐高溫的農作物品種|1
577|關於「ISSB」發布之 IFRS S1,其核心目標為何?|提供一套全球一致的永續財務揭露基準|取代所有的傳統財務報表|僅規範水資源的揭露方式|要求企業必須揭露商業機密|1
578|什麼是「重大性」(Materiality)在 GRI 2021 準則中的核心?|反映組織對經濟、環境及社會產生顯著影響的議題|會讓股價在一天內跌停的議題|公司老闆最關心的政治議題|新聞媒體最喜歡報導的議題|1
579|下列何者屬於 ESG 中的「G」(治理)面向指標?|企業風險管理、董事會組成與稅務公平|辦公大樓的空中花園面積|員工每日平均站立時間|捐贈給偏鄉小學的金額|1
580|關於「內部碳定價」中的「影子價格」,下列敘述何者有誤?|它是一種實際發生的現金支出成本|它可用於評估低碳專案的潛在收益|它有助於識別氣候相關風險|它通常設定在財務決策模型中|1
581|什麼是「ESG 整合」(ESG Integration)?|在投資決策過程中,有系統地結合 ESG 因素與財務分析|將三個不同的子公司合併|只關注環境績效不看財務績效|要求所有員工都改名為永續相關名字|1
582|關於「永續發展基礎能力測驗」,通過後之證書效期為何?|目前通常為永久有效(除非主管機關另有規定)|一年|五年|十年|1
583|下列何者屬於「永續經濟活動」認定指引中的「氣候變遷調適」目的?|降低氣候變遷對組織或自然系統的負面影響|減少溫室氣體排放量|提升資源回收效率|減少水污染排放|1
584|何謂「碳權」(Carbon Credit)在市場上的交易單位?|一公噸二氧化碳當量(tCO2e)|一公斤二氧化碳|一公升二氧化碳|一立方公尺二氧化碳|1
585|關於「ISSB」準則的特色,其目的是滿足誰的需求?|投資人、貸款人及其他債權人|僅限於政府環保部門|僅限於非營利組織員工|僅限於一般消費者|1
586|什麼是「碳足跡」(Carbon Footprint)計算的範疇?|通常涵蓋產品由原料、製造、配送、使用至廢棄的全過程|僅涵蓋工廠煙囪的排放量|僅涵蓋員工開車的排放量|僅涵蓋辦公室影印紙的使用量|1
587|下列哪一項是企業推動「循環經濟」的主要商業價值?|提高資源使用效率並強化供應鏈韌性|為了增加垃圾清運費用支出|為了減少產品的使用壽命|純粹為了慈善形象不考慮獲利|1
588|關於「自然相關財務揭露」(TNFD),其架構建議揭露內容不包含?|董事長個人的私人生活環境|治理、策略、風險管理與影響評估|指標與目標|組織與大自然的互動關係|1
589|何謂「淨零路徑」(Net Zero Pathway)?|組織為達成淨零目標所規劃的短、中、長期行動方案|辦公室的緊急逃生路線|工廠的通風排煙管線佈置|網路傳輸數據的線路|1
590|關於「永續發展基礎能力測驗」,報名對象為何?|不限對象,歡迎有志於此之人士參與|僅限金融業員工|僅限大學生|僅限政府官員|1
591|下列何者屬於「永續連結貸款」(SLL)的關鍵績效指標(KPI)?|溫室氣體排放量減少比率|公司股票漲幅比率|員工出國旅遊次數|分行裝潢費用總額|1
592|關於「社會責任投資」(SRI)中的「倫理篩選」,最早源於?|宗教團體排除爭議性產業(如菸酒、博弈)|政府強制的稅收優惠|為了追求最高的金融風險|電腦科技的進步|1
593|什麼是「範疇一」中「固定源」燃燒排放?|公司自有工廠鍋爐燃燒天然氣產生的排放|公司貨車行駛產生的排放|辦公室購買電力產生的排放|員工在家上班產生的排放|1
594|關於 TCFD 的「情境分析」,企業應考量哪些情境?|包含 1.5°C、2°C 及升溫更高(如 4°C)的情境|僅需考量目前的情境|僅需考量歷史上發生過的情境|僅需考量最好的情境|1
595|下列何者屬於 ESG 中的「S」(社會)面向?|顧客隱私與數據安全管理|董事會多元性與獨立性|溫室氣體排放盤查確信|內部稽核制度的建立|1
596|關於「科學基礎減碳目標」(SBTi),企業提交目標後需經過何種程序?|由 SBTi 技術團隊進行獨立驗證與核准|由公司老闆簽字即可|由報紙媒體進行報導即可|由員工進行投票即可|1
597|什麼是「範疇二」排放中的「位置基準法」(Location-based method)?|依據所在地區電網的平均排放係數計算排放量|依據發電廠與公司的距離計算|依據辦公室的門牌號碼計算|依據公司在市場上的排名計算|1
598|關於「永續發展路徑圖」,目前優先推動「碳盤查」的產業對象包含?|鋼鐵業及水泥業|百貨業及補教業|餐飲業及旅館業|零售業及電商業|1
599|下列哪一項不是「綠色債券」發行後的必要揭露事項?|發行公司高階主管的薪酬明細|資金實際運用於綠色專案的進度|預期或實際產生的環境效益數據|資金存放與管理情形|1
600|關於「永續發展基礎能力測驗」,測驗當天應攜帶之證件為何?|國民身分證或具照片之有效證件|員工證|圖書館借書證|健身房會員卡|1
601|我國推動綠色金融行動方案3.0，針對資料面向之推動措施內容，下列何者不在其中?|(1)建置企業 ESG 資料平台|(2)推動個別金融業辦理氣候變遷壓力測試|(3)統計因應氣候變遷之承保情形及永續保險商品數據|(4)擴充上市櫃公司 ESG 資訊平台|2
602|歐盟發布「永續金融揭露規範」(SFDR)規定，旨在規範哪些對象必須公開揭露落實狀況?|(1)個別投資者|(2)排碳大戶|(3)上市櫃企業|(4)投資公司、基金公司、保險公司等主要金融市場參與者|4
603|在《京都議定書》中，依共同但有差異之原則，要求下列哪些國家採取先行作為(lead action)?|(1)開發中國家|(2)已開發國家|(3)經濟合作與發展組織(OECD)成員|(4)貧窮落後國家|2
604|有關我國「綠色及轉型金融行動方案」，五大核心策略不包括下列何者?|(1)協力政府與企業共同推動淨零轉型|(2)導引民間資金支持永續相關基礎建設|(3)限制金融機構投融資高碳排產業|(4)發揮金融影響力及提升國際能見度|3
605|全球首次達成因應氣候變遷且涵蓋所有國家之共同協定，為下列哪個協議?|(1)格拉斯哥氣候協議|(2)京都議定書|(3)巴黎協定(Paris Agreement)|(4)利馬氣候行動呼籲|3
606|下列哪一類別的基金是以實現ESG為目標，確認經濟活動可對環境有貢獻且未造成重大傷害(DNSH)?|(1) Article 6的基金|(2) Article 8的基金|(3) Article 9的基金|(4)永續等級的基金|3
607|「巴黎協定」要求各締約國提交國家自主貢獻(NDCs)，其檢核週期為每幾年一次?|(1)1年|(2)3年|(3)5年|(4)7年|3
608|我國推動綠色金融行動方案3.0，強化永續金融訓練是屬於哪一個推動面向工作?|(1)生態系|(2)佈局|(3)資料|(4)培力|4
609|綠天鵝事件(Green Swan)指的是什麼?|(1)環境保護運動引發的示威|(2)極端氣候引發系統性金融危機|(3)綠色鳥類物種集體死亡|(4) COVID-19 全球大流行|2
610|關於碳交易，下列敘述何者錯誤?|(1)政府建置平台提供有供需者進行交易|(2)碳價由市場交易結果決定|(3)政府必須訂定排放上限才能促成交易|(4)可分為強制性與自願性兩種市場類型|3
611|我國推動上市櫃公司永續發展路徑圖，盤查時程規劃不包含下列哪一項?|(1)第一階段(2023年)資本額100億以上盤查個體公司|(2)第二階段(2025年)資本額100億以上子公司完成盤查|(3)第三階段(2026年)資本額50至100億子公司完成盤查|(4)第一階段(2024年)資本額100億以上完成確信|4
612|下列哪個組織負責協助起草具體減排目標、時程與法律拘束力的議定書?|(1)第一工作小組|(2)柏林授權特別工作小組|(3)第二工作小組|(4)政府間氣候變遷綱要公約談判委員會|1
613|《氣候變遷綱要公約》(UNFCCC)附件二締約國名單係指下列哪些國家?|(1)經濟合作與發展組織(OECD)成員|(2)已工業化和正在朝市場經濟過渡的國家|(3)聯合國成員國|(4)貧窮落後之國家|1
614|歐盟環境、社會與公司治理(ESG)資訊揭露的核心法規為下列何者?|(1)非財務報告指令(NFRD)|(2)監管技術標準(RTS)|(3)企業永續報告指令(CSRD)|(4)歐盟永續分類標準|3
615|我國推動綠色金融行動方案3.0，針對佈局面之具體推動措施內容，不包含下列哪一項?|(1)補助及獎勵於發展負排放技術|(2)訂定範疇一二三減碳目標時程|(3)推動個別金融業辦理氣候變遷壓力測試|(4)持續精進壓力測試模組|3
616|下列何者不是歐盟永續分類標準提及制定永續活動分類系統之主要目的?|(1)達到綠色政綱目標|(2)辨識經濟活動是否具有社會永續性|(3)協助企業進行低碳轉型|(4)將資金引導至有助永續發展的經濟活動|2
617|上市上櫃公司永續發展實務守則中，關於維護社會公益的內容，不包含下列何者?|(1)尊重消費者權益|(2)統計溫室氣體排放量|(3)同時反映了當地人才庫及其客戶群的構成|(4)保障員工合法權益|3
618|有關永續金融揭露規範第二階段(SFDR 2.0)起所推行的內容，不包含下列何者?|(1)提出監管技術標準(RTS)|(2)涵蓋具體揭露資訊細節要求|(3)加強對最終投資者的保護|(4)針對金融市場參與者提出原則性的遵循要求|4
619|有關企業永續報告指令(CSRD)的敘述，下列何者錯誤?|(1)評估永續性議題所帶來的財務風險|(2)降低企業中長期報告成本|(3)評估財務風險和機會|(4)確保投資人能夠獲取評估大公司的財務資訊|4
620|下列何者不是我國《再生能源發展條例》所涵蓋的再生能源?|(1)生質能|(2)地熱能|(3)海洋能|(4)天然氣|4
621|企業將碳排放量從A國移到B國進口替代品，對全球碳排放產生何種影響?|(1)大幅減少全球碳排|(2)完全沒有影響|(3)不會減少全球碳排|(4)對2050淨零目標完全沒影響|3
622|下列何者不是「氣候變遷因應法」之重點內容?|(1)2050 淨零排放目標入法|(2)碳稅專款專用|(3)穩健推動碳交易|(4)優化碳盤查法規與系統|2
623|有關「巴黎協定」之重要內容，敘述正確的有幾項?|(1)0項|(2)1項|(3)2項|(4)3項|2
624|有關格拉斯哥氣候協議(Glasgow Climate Pact)之敘述，正確的有幾項?|(1)0項|(2)1項|(3)2項|(4)3項|3
625|有關組織依循GRI進行報導的敘述，下列何者正確?|(1)組織不可使用選定GRI準則報導特定主題|(2)不符合所有要求則不可參考GRI|(3)不需完全符合發布索引表也能參考GRI|(4)使用選定GRI準則仍可說明是參考GRI進行報導|4
626|「IFRS S2行業基礎指引」中，將ESG因素納入信用分析之作法屬於哪類指標?|(1)跨行業指標|(2)行業基礎指標|(3)公司特定指標|(4)投資機構評比指標|2
627|依「本國銀行氣候風險財務揭露指引」，銀行訂定評估流程非主要目的為?|(1)辨識評估風險高低|(2)排定風險次序|(3)定義重大性氣候風險|(4)劃分各防線之氣候風險管理職責|4
628|IFRS S2規定應揭露之溫室氣體、轉型風險等7項指標屬於哪一類?|(1)跨行業指標|(2)行業基礎指標|(3)公司特定指標|(4)投資機構評比指標|1
629|ISSB 於2023年發布S2準則，其揭露要求重視的是什麼?|(1)僅適用聯合國成員|(2)僅提供指引由在地化政策決定|(3)僅強調氣候的風險與機會|(4)廣泛考量ESG所有面向|3
630|針對氣候相關財務揭露工作小組(TCFD)的敘述，下列何者錯誤?|(1)協助投資人評估氣候風險|(2)成員僅由非金融公司組成|(3)擬定自願性一致揭露建議|(4)指標特色含一致性、產業特定、可比性|2
631|有關 GRI 通用準則 2021，下列敘述何者正確?|(1)組織須將 GRI 1、2、3皆應用於報導|(2)可任選兩個應用|(3)可選擇1搭配2或1搭配3|(4)可選擇1搭配3或2搭配3|1
632|SASB 人力資本面向中，關於員工認同感與包容性議題，下列敘述何者錯誤?|(1)探討如何建立多元團隊|(2)此議題進一步解決了公司與有組織勞工之關係|(3)處理歧視問題|(4)探討聘僱實務建立團隊能力|2
633|公司內部的公務車空調的排放源被歸類在哪一個範疇?|(1)範疇三|(2)範疇二|(3)範疇一|(4)不需納入計算|3
634|下列哪一個永續資訊框架，有明確的產業指引，依循明確ESG議題範圍揭露?|(1) SASB|(2) IFRS S1|(3) TCFD|(4) GRI|1
635|「本國銀行氣候風險財務揭露指引」要求揭露四大面向不包含?|(1)治理|(2)策略|(3)風險管理|(4)報導|4
636|有關組織依循GRI準則決定重大主題流程之步驟，何者錯誤?|(1)應每三個報導期間更換一次|(2)應可複製|(3)應有文件記錄|(4)應具系統性|1
637|下列何者非服務型碳足跡的生命週期階段?|(1)原料取得|(2)製造|(3)服務|(4)廢棄處理|2
638|IFRS S2規定應揭露的指標與目標，不包括哪一項?|(1)跨行業指標|(2)行業基礎指標|(3)公司特定指標|(4)外部機構評比指標|4
639|涉及維護勞工標準、遵守勞動法規，屬於SASB 26項議題中哪一項?|(1)員工健康與安全|(2)員工對企業之認同感|(3)勞工關係|(4)人權和社區關係|3
640|根據「本國銀行氣候風險財務揭露指引」，下列敘述何者錯誤?|(1)應依三道防線劃分職責|(2)可依客戶或資產組合訂定評估流程|(3)不論風險高低皆應採取一致管理措施|(4)應辨識氣候風險與其他風險之關聯性|3
641|資產管理規模未達1,000億之投信事業，應於哪一年度完成溫室氣體確信?|(1)116年|(2)117年|(3)118年|(4)119年|3
642|TCFD 對於治理項目建議的揭露事項，下列何者正確?|(1)揭露評估氣候風險之指標|(2)描述董事會對氣候風險之監督情況|(3)描述鑑別之短中長期風險|(4)描述風險管理流程|2
643|請問下列哪個產業不在現行規範揭露產業別永續揭露指標之14個產業?|(1)鋼鐵工業|(2)建材營造業|(3)電腦及週邊設備業|(4)油電燃氣業|3
644|何者不是銀行與保險業氣候風險揭露指引皆優先重視之項目?|(1)董事會制定策略將氣候風險納入|(2)透過情境分析瞭解策略|(3)三道防線風險管理|(4)設置永續投資研究部門調查盡職治理|4
645|銀行訂定業務財務規劃時，應至少將哪些因素納入考量?|(1)僅甲、丁|(2)僅甲、乙|(3)僅甲、乙、丙|(4)甲、乙、丙、丁|4
646|關於確信準則 3000 號，關於確信標的敘述何者正確?|(1)通常評估並未存有重大不實風險|(2)由負責方出具確信報告|(3)標的資訊需依基準衡量並呈現之結果|(4)確信執業人員必須由受委任公司之內部員工擔任|3
647|溫室氣體確信項目中，直接排放主要來自於下列何者?|(1)外購電力、熱或蒸汽|(2)公司擁有或控制之排放源|(3)員工通勤|(4)產品運輸與配送|2
648|TCFD 建議描述組織對氣候風險之管理流程，屬於核心要素中哪一項?|(1)治理|(2)策略|(3)風險管理|(4)指標和目標|3
649|根據「上市櫃公司永續發展路徑圖」，2027年全體上市櫃公司應完成什麼?|(1)合併報表溫室氣體盤查|(2)個體公司溫室氣體盤查|(3)個體公司溫室氣體確信|(4)合併報表溫室氣體確信|1
650|銀行建立氣候相關情境分析之目的，不包含下列何者?|(1)評估客戶受氣候風險之影響|(2)設定資產負債管理目標|(3)作為產品定價唯一依據|(4)評估資本適足性|3
651|根據IPCC特別報告，土地吸收了全世界溫室氣體排放量多少比例?|(1) 10%|(2) 20%|(3) 30%|(4) 40%|3
652|「土壤劣化導致農作物生產力下降」是哪一種風險?|(1)立即性實體風險|(2)長期性實體風險|(3)市場風險|(4)技術風險|2
653|下列何者非氣候變遷因應法中規範之碳費收費對象?|(1)排放量達一定規模之製造業|(2)進口高碳排產品之進口商|(3)自願減量專案之執行單位|(4)電力供應業|3
654|「綠色金融行動方案3.0」中，「生態系」面向之具體措施為何?|(1)建置ESG資料平台|(2)推動金融業氣候壓力測試|(3)辦理永續金融評鑑|(4)擴充上市櫃ESG資訊平台|3
655|IFRS S2 要求揭露之範疇三排放，其衡量應包含下列何者?|(1)上游活動|(2)下游活動|(3)融資排放|(4)以上皆是|4
656|關於「自願性碳權」與「強制性碳抵換」之敘述，何者正確?|(1)自願性碳權可直接抵扣歐盟CBAM|(2)強制性碳抵換通常來自政府核發配額|(3)自願性碳權主要來自減量專案產出|(4)兩者皆由國際民航組織核發|3
657|下列何者非 SASB 準則中之五大永續維度?|(1)環境|(2)社會資本|(3)商業模式與創新|(4)政治參與|4
658|TNFD 建議揭露之「LEAP」方法中，L 代表什麼?|(1) Locate (定位)|(2) Learn (學習)|(3) Lead (引導)|(4) Legal (法律)|1
659|聯合國永續發展目標(SDGs)共有幾項核心目標?|(1) 10項|(2) 15項|(3) 17項|(4) 20項|3
660|我國「2050 淨零排放路徑圖」中，主要轉型策略不包括?|(1)能源轉型|(2)產業轉型|(3)生活轉型|(4)政治轉型|4
